filename,class_label,confidence,bbox
@lobelia4cosmetics_14587.jpg,cup,0.6467691659927368,"[71.7776107788086, 245.87818908691406, 149.46827697753906, 308.4471740722656]"
@lobelia4cosmetics_14222.jpg,cup,0.6467691659927368,"[71.7776107788086, 245.87818908691406, 149.46827697753906, 308.4471740722656]"
@lobelia4cosmetics_14550.jpg,bottle,0.4463478922843933,"[304.0826721191406, 130.75006103515625, 699.0043334960938, 883.926513671875]"
@lobelia4cosmetics_13559.jpg,apple,0.6799460649490356,"[407.9164123535156, 996.9786376953125, 495.4078063964844, 1088.5284423828125]"
@lobelia4cosmetics_13559.jpg,bottle,0.35574182868003845,"[355.3564147949219, 31.49420166015625, 912.6864013671875, 1239.177490234375]"
@lobelia4cosmetics_13559.jpg,apple,0.3082275092601776,"[579.8353881835938, 1054.49853515625, 676.6184692382812, 1108.60205078125]"
@lobelia4cosmetics_15100.jpg,cat,0.4867214560508728,"[209.65028381347656, 38.920806884765625, 288.9740295410156, 104.74197387695312]"
@lobelia4cosmetics_15100.jpg,book,0.4622369408607483,"[374.412841796875, 176.7484588623047, 426.7414855957031, 504.353515625]"
@lobelia4cosmetics_15114.jpg,vase,0.7715074419975281,"[77.91109466552734, 751.9901733398438, 216.0592041015625, 1166.207763671875]"
@lobelia4cosmetics_15114.jpg,bottle,0.3623773753643036,"[679.98046875, 412.35675048828125, 929.35546875, 995.2262573242188]"
@lobelia4cosmetics_14791.jpg,cat,0.4867214560508728,"[209.65028381347656, 38.920806884765625, 288.9740295410156, 104.74197387695312]"
@lobelia4cosmetics_14791.jpg,book,0.4622369408607483,"[374.412841796875, 176.7484588623047, 426.7414855957031, 504.353515625]"
@lobelia4cosmetics_14961.jpg,bottle,0.6814846396446228,"[316.7446594238281, 196.21572875976562, 709.3272705078125, 922.7664184570312]"
@lobelia4cosmetics_13968.jpg,cell phone,0.32223397493362427,"[697.5551147460938, 891.007080078125, 864.2789916992188, 980.3873291015625]"
@lobelia4cosmetics_13968.jpg,remote,0.2883593738079071,"[696.0810546875, 891.3551635742188, 860.283203125, 980.8458251953125]"
@lobelia4cosmetics_14746.jpg,pizza,0.44338956475257874,"[171.3677520751953, 570.696044921875, 397.2658386230469, 685.4251098632812]"
@lobelia4cosmetics_13029.jpg,cell phone,0.4441218674182892,"[697.68310546875, 888.2476196289062, 862.7877197265625, 978.2019653320312]"
@lobelia4cosmetics_13029.jpg,remote,0.3316413462162018,"[698.62744140625, 888.3297119140625, 861.5707397460938, 977.111083984375]"
@lobelia4cosmetics_14020.jpg,bottle,0.2716655135154724,"[38.26451873779297, 297.7548522949219, 502.4421081542969, 1413.8565673828125]"
@lobelia4cosmetics_13997.jpg,book,0.5757170915603638,"[254.1815185546875, 912.3262939453125, 782.5294189453125, 1020.05419921875]"
@lobelia4cosmetics_13997.jpg,person,0.3303629457950592,"[591.4877319335938, 481.1165466308594, 765.7172241210938, 928.6648559570312]"
@lobelia4cosmetics_13983.jpg,person,0.5310538411140442,"[549.8878173828125, 471.870361328125, 792.1337280273438, 863.4865112304688]"
@lobelia4cosmetics_13773.jpg,bottle,0.434455543756485,"[160.30099487304688, 0.0, 351.0075988769531, 496.128173828125]"
@lobelia4cosmetics_14008.jpg,person,0.7568322420120239,"[1374.2763671875, 1007.8810424804688, 1703.318359375, 1982.882568359375]"
@lobelia4cosmetics_14008.jpg,person,0.7424228191375732,"[1058.4859619140625, 1310.181884765625, 1534.8614501953125, 1978.951904296875]"
@lobelia4cosmetics_14197.jpg,book,0.5757170915603638,"[254.1815185546875, 912.3262939453125, 782.5294189453125, 1020.05419921875]"
@lobelia4cosmetics_14197.jpg,person,0.3303629457950592,"[591.4877319335938, 481.1165466308594, 765.7172241210938, 928.6648559570312]"
@lobelia4cosmetics_13808.jpg,bottle,0.434455543756485,"[160.30099487304688, 0.0, 351.0075988769531, 496.128173828125]"
@lobelia4cosmetics_14801.jpg,cup,0.6467691659927368,"[71.7776107788086, 245.87818908691406, 149.46827697753906, 308.4471740722656]"
@lobelia4cosmetics_14632.jpg,person,0.8925107717514038,"[432.249755859375, 421.728515625, 764.4229736328125, 903.556396484375]"
@lobelia4cosmetics_14140.jpg,cake,0.31674498319625854,"[214.05145263671875, 777.7368774414062, 343.3994445800781, 907.9940185546875]"
@lobelia4cosmetics_14626.jpg,person,0.8619318008422852,"[649.8814086914062, 564.3292236328125, 956.7570190429688, 946.7940673828125]"
@lobelia4cosmetics_14395.jpg,person,0.8925107717514038,"[432.249755859375, 421.728515625, 764.4229736328125, 903.556396484375]"
@lobelia4cosmetics_13439.jpg,book,0.5757170915603638,"[254.1815185546875, 912.3262939453125, 782.5294189453125, 1020.05419921875]"
@lobelia4cosmetics_13439.jpg,person,0.3303629457950592,"[591.4877319335938, 481.1165466308594, 765.7172241210938, 928.6648559570312]"
@lobelia4cosmetics_14356.jpg,frisbee,0.4060935378074646,"[130.94973754882812, 182.73069763183594, 905.8906860351562, 786.69970703125]"
